ABV_CUSTOMER_ID,SEGMENT_NAME,SEGMENT_VALUE,IREP_EMAIL_OPEN,NPP_TRANSACTION_TOUCHPOINTS,ISA_CALL_COUNT
282845,ONCOLOGY CLL DECILE GROUP,High,2,0,16
268253,ONCOLOGY CLL DECILE GROUP,High,6,31,5
269539,ONCOLOGY CLL DECILE GROUP,High,0,4,1
283512,ONCOLOGY CLL DECILE GROUP,High,5,59,0
283722,ONCOLOGY CLL DECILE GROUP,High,0,111,16
271237,ONCOLOGY CLL DECILE GROUP,High,0,0,2
284361,ONCOLOGY CLL DECILE GROUP,High,0,93,7
284712,ONCOLOGY CLL DECILE GROUP,High,20,825,13
285891,ONCOLOGY CLL DECILE GROUP,High,2,0,2
272900,ONCOLOGY CLL DECILE GROUP,High,0,0,4
285953,ONCOLOGY CLL DECILE GROUP,High,8,649,8
273221,ONCOLOGY CLL DECILE GROUP,High,1,135,2
287100,ONCOLOGY CLL DECILE GROUP,High,0,478,0
274551,ONCOLOGY CLL DECILE GROUP,High,9,166,6
287973,ONCOLOGY CLL DECILE GROUP,High,5,426,1
288583,ONCOLOGY CLL DECILE GROUP,High,4,44,1
288873,ONCOLOGY CLL DECILE GROUP,High,4,604,5
288999,ONCOLOGY CLL DECILE GROUP,High,6,48,3
274622,ONCOLOGY CLL DECILE GROUP,High,23,129,10
289440,ONCOLOGY CLL DECILE GROUP,High,26,436,16
274638,ONCOLOGY CLL DECILE GROUP,High,0,0,3
289703,ONCOLOGY CLL DECILE GROUP,High,0,106,3
289796,ONCOLOGY CLL DECILE GROUP,High,28,339,7
290145,ONCOLOGY CLL DECILE GROUP,High,1,144,6
290939,ONCOLOGY CLL DECILE GROUP,High,0,0,3
290995,ONCOLOGY CLL DECILE GROUP,High,27,1234,14
292915,ONCOLOGY CLL DECILE GROUP,High,6,68,11
292666,ONCOLOGY CLL DECILE GROUP,High,0,0,3
299441,ONCOLOGY CLL DECILE GROUP,High,16,407,1
299677,ONCOLOGY CLL DECILE GROUP,High,3,420,14
294850,ONCOLOGY CLL DECILE GROUP,High,4,364,4
299884,ONCOLOGY CLL DECILE GROUP,High,0,71,17
300861,ONCOLOGY CLL DECILE GROUP,High,17,70,16
301032,ONCOLOGY CLL DECILE GROUP,High,0,58,4
301106,ONCOLOGY CLL DECILE GROUP,High,0,8,10
296204,ONCOLOGY CLL DECILE GROUP,High,2,66,11
296239,ONCOLOGY CLL DECILE GROUP,High,45,379,15
301527,ONCOLOGY CLL DECILE GROUP,High,16,365,9
301588,ONCOLOGY CLL DECILE GROUP,High,22,1,22
301933,ONCOLOGY CLL DECILE GROUP,High,0,168,1
303110,ONCOLOGY CLL DECILE GROUP,High,1,31,5
297519,ONCOLOGY CLL DECILE GROUP,High,3,78,28
303273,ONCOLOGY CLL DECILE GROUP,High,0,288,4
304024,ONCOLOGY CLL DECILE GROUP,High,12,723,10
304184,ONCOLOGY CLL DECILE GROUP,High,0,196,3
304242,ONCOLOGY CLL DECILE GROUP,High,1,96,0
305511,ONCOLOGY CLL DECILE GROUP,High,2,0,3
298481,ONCOLOGY CLL DECILE GROUP,High,51,139,32
305597,ONCOLOGY CLL DECILE GROUP,High,4,247,6
298868,ONCOLOGY CLL DECILE GROUP,High,5,292,5
299044,ONCOLOGY CLL DECILE GROUP,High,34,1155,5
306208,ONCOLOGY CLL DECILE GROUP,High,0,4,8
306326,ONCOLOGY CLL DECILE GROUP,High,79,39,7
299320,ONCOLOGY CLL DECILE GROUP,High,2,164,9
308022,ONCOLOGY CLL DECILE GROUP,High,2,696,3
308589,ONCOLOGY CLL DECILE GROUP,High,0,163,1
310794,ONCOLOGY CLL DECILE GROUP,High,15,64,8
309595,ONCOLOGY CLL DECILE GROUP,High,2,106,12
309709,ONCOLOGY CLL DECILE GROUP,High,3,11,4
309772,ONCOLOGY CLL DECILE GROUP,High,0,141,17
310240,ONCOLOGY CLL DECILE GROUP,High,12,154,15
310337,ONCOLOGY CLL DECILE GROUP,High,4,1052,3
317370,ONCOLOGY CLL DECILE GROUP,High,0,37,11
313011,ONCOLOGY CLL DECILE GROUP,High,32,108,11
318611,ONCOLOGY CLL DECILE GROUP,High,0,27,0
313422,ONCOLOGY CLL DECILE GROUP,High,4,122,4
318947,ONCOLOGY CLL DECILE GROUP,High,2,71,15
320168,ONCOLOGY CLL DECILE GROUP,High,4,413,21
320652,ONCOLOGY CLL DECILE GROUP,High,6,228,0
313827,ONCOLOGY CLL DECILE GROUP,High,0,0,3
321958,ONCOLOGY CLL DECILE GROUP,High,0,16,3
313831,ONCOLOGY CLL DECILE GROUP,High,4,2,0
314307,ONCOLOGY CLL DECILE GROUP,High,4,94,3
315760,ONCOLOGY CLL DECILE GROUP,High,18,17,9
327218,ONCOLOGY CLL DECILE GROUP,High,1,1175,5
315910,ONCOLOGY CLL DECILE GROUP,High,24,856,6
327495,ONCOLOGY CLL DECILE GROUP,High,0,311,4
328208,ONCOLOGY CLL DECILE GROUP,High,2,937,3
328418,ONCOLOGY CLL DECILE GROUP,High,16,116,9
328466,ONCOLOGY CLL DECILE GROUP,High,5,74,2
328831,ONCOLOGY CLL DECILE GROUP,High,9,0,15
329820,ONCOLOGY CLL DECILE GROUP,High,0,498,2
329905,ONCOLOGY CLL DECILE GROUP,High,0,217,6
329988,ONCOLOGY CLL DECILE GROUP,High,5,153,0
317352,ONCOLOGY CLL DECILE GROUP,High,0,0,22
340669,ONCOLOGY CLL DECILE GROUP,High,0,213,0
337107,ONCOLOGY CLL DECILE GROUP,High,0,457,0
341600,ONCOLOGY CLL DECILE GROUP,High,20,70,21
348092,ONCOLOGY CLL DECILE GROUP,High,2,125,13
350050,ONCOLOGY CLL DECILE GROUP,High,16,288,7
350699,ONCOLOGY CLL DECILE GROUP,High,4,59,0
344175,ONCOLOGY CLL DECILE GROUP,High,18,96,4
344229,ONCOLOGY CLL DECILE GROUP,High,3,61,6
354227,ONCOLOGY CLL DECILE GROUP,High,0,221,4
354327,ONCOLOGY CLL DECILE GROUP,High,0,75,4
344578,ONCOLOGY CLL DECILE GROUP,High,3,0,1
